
---------- Begin Simulation Statistics ----------
simSeconds                                   0.105481                       # Number of seconds simulated (Second)
simTicks                                 105481131000                       # Number of ticks simulated (Tick)
finalTick                                105481131000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                    422.00                       # Real time elapsed on the host (Second)
hostTickRate                                249956569                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    2534604                       # Number of bytes of host memory used (Byte)
simInsts                                    130071937                       # Number of instructions simulated (Count)
simOps                                      143767009                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   308229                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     340682                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                        210962263                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               1.621889                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               0.616565                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                       154159885                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                  5475742                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                      156359098                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                1904921                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined             15868617                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined          34956961                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                  24                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples           210887666                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               0.741433                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              0.858556                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                 105190981     49.88%     49.88% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                  60512732     28.69%     78.57% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                  41074582     19.48%     98.05% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                   2740282      1.30%     99.35% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                   1369089      0.65%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                         0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                         0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                         0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                         0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 4                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total             210887666                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                 6844891     30.87%     30.87% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     30.87% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     30.87% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     30.87% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     30.87% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     30.87% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     30.87% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%     30.87% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatDiv                     0      0.00%     30.87% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMisc                    0      0.00%     30.87% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatSqrt                    0      0.00%     30.87% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAdd                      0      0.00%     30.87% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAddAcc                   0      0.00%     30.87% # attempts to use FU when none available (Count)
