
---------- Begin Simulation Statistics ----------
simSeconds                                   0.099492                       # Number of seconds simulated (Second)
simTicks                                  99492075500                       # Number of ticks simulated (Tick)
finalTick                                 99492075500                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                    367.76                       # Real time elapsed on the host (Second)
hostTickRate                                270538254                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    2318816                       # Number of bytes of host memory used (Byte)
simInsts                                     94919272                       # Number of instructions simulated (Count)
simOps                                      109527786                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   258104                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     297827                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                        198984152                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               2.096351                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               0.477019                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                       114764674                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                   268346                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                      113424675                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                 385274                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined              5505233                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined          12271955                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                  30                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples           161189101                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               0.703675                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              0.905339                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                  88750263     55.06%     55.06% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                  39223266     24.33%     79.39% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                  25942259     16.09%     95.49% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                   6776361      4.20%     99.69% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                    496952      0.31%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                         0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                         0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                         0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                         0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 4                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total             161189101                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                 4175861     25.49%     25.49% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                   1044      0.01%     25.50% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     25.50% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     25.50% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     25.50% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     25.50% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     25.50% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%     25.50% # attempts to use FU when none available (Count)
