
---------- Begin Simulation Statistics ----------
simSeconds                                   0.010630                       # Number of seconds simulated (Second)
simTicks                                  10629641000                       # Number of ticks simulated (Tick)
finalTick                                 10629641000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                     57.00                       # Real time elapsed on the host (Second)
hostTickRate                                186480579                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    2281636                       # Number of bytes of host memory used (Byte)
simInsts                                     15429169                       # Number of instructions simulated (Count)
simOps                                       19186330                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   270680                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     336594                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                         21259283                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               1.377863                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               0.725761                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                        21622349                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                    90449                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                       20923473                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                  89061                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined              2526467                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined           5029980                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                 358                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples            21178779                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               0.987945                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              0.973730                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                   8511319     40.19%     40.19% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                   5981622     28.24%     68.43% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                   5203688     24.57%     93.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                   1394128      6.58%     99.58% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                     88019      0.42%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                         3      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                         0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                         0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                         0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 5                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total              21178779                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                  974645     26.00%     26.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     26.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     26.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     26.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     26.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     26.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     26.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%     26.00% # attempts to use FU when none available (Count)
